Percentage of charging events,residential,shopping,workplace,highway
0,72.0,72.0,72.0,100.0
1,56.5,44.9,46.4,99.0
2,43.0,38.8,25.7,98.0
3,38.8,29.1,20.1,97.0
4,35.4,23.7,16.6,96.0
5,29.3,21.7,13.2,95.0
6,25.1,20.4,11.2,94.0
7,23.4,19.4,10.6,93.0
8,22.2,18.5,10.2,92.0
9,21.2,17.8,10.0,91.0
10,20.3,17.1,9.8,90.0
11,19.6,16.6,9.6,89.0
12,18.9,16.1,9.5,88.0
13,18.4,15.6,9.4,87.0
14,17.9,15.2,9.3,86.0
15,17.4,14.9,9.2,85.0
16,17.0,14.6,9.1,84.0
17,16.7,14.3,9.0,83.0
18,16.3,14.0,8.9,82.0
19,16.0,13.8,8.9,81.0
20,15.7,13.5,8.8,80.0
21,15.4,13.2,8.7,79.0
22,15.2,13.0,8.7,78.0
23,15.0,12.7,8.6,77.0
24,14.8,12.4,8.5,76.0
25,14.6,12.1,8.5,75.0
26,14.4,11.7,8.4,74.0
27,14.3,11.4,8.3,73.0
28,14.1,11.1,8.2,72.0
29,14.0,10.7,8.1,71.0
30,13.8,10.4,8.0,70.0
31,13.7,10.0,7.9,69.0
32,13.6,9.7,7.8,68.0
33,13.4,9.4,7.7,67.0
34,13.3,9.1,7.5,66.0
35,13.2,8.9,7.4,65.0
36,13.1,8.6,7.2,64.0
37,12.9,8.4,7.1,63.0
38,12.8,8.1,6.9,62.0
39,12.7,7.7,6.7,61.0
40,12.5,7.4,6.5,60.0
41,12.4,7.0,6.3,59.0
42,12.3,6.5,6.2,58.0
43,12.1,6.2,6.0,57.0
44,12.0,5.8,5.8,56.0
45,11.8,5.5,5.7,55.0
46,11.7,5.3,5.5,54.0
47,11.5,5.0,5.3,53.0
48,11.4,4.8,5.2,52.0
49,11.2,4.6,5.0,51.0
50,11.0,4.4,4.9,50.0
51,10.9,4.2,4.8,49.0
52,10.7,4.1,4.6,48.0
53,10.6,3.9,4.5,47.0
54,10.4,3.8,4.4,46.0
55,10.3,3.6,4.3,45.0
56,10.1,3.5,4.2,44.0
57,9.9,3.4,4.1,43.0
58,9.8,3.3,4.0,42.0
59,9.6,3.1,3.9,41.0
60,9.5,3.0,3.8,40.0
61,9.3,2.9,3.7,39.0
62,9.1,2.8,3.6,38.0
63,8.9,2.7,3.5,37.0
64,8.8,2.6,3.4,36.0
65,8.5,2.5,3.3,35.0
66,8.3,2.4,3.2,34.0
67,8.0,2.3,3.1,33.0
68,7.7,2.2,3.1,32.0
69,7.1,2.2,3.0,31.0
70,6.5,2.1,2.9,30.0
71,5.8,2.0,2.8,29.0
72,5.3,1.9,2.7,28.0
73,4.8,1.8,2.6,27.0
74,4.5,1.8,2.5,26.0
75,4.2,1.7,2.5,25.0
76,3.9,1.6,2.4,24.0
77,3.7,1.5,2.3,23.0
78,3.5,1.5,2.2,22.0
79,3.3,1.4,2.1,21.0
80,3.1,1.3,2.0,20.0
81,2.9,1.3,2.0,19.0
82,2.7,1.2,1.9,18.0
83,2.5,1.1,1.8,17.0
84,2.4,1.1,1.7,16.0
85,2.2,1.0,1.7,15.0
86,2.1,0.9,1.6,14.0
87,1.9,0.8,1.5,13.0
88,1.8,0.8,1.4,12.0
89,1.7,0.7,1.3,11.0
90,1.5,0.6,1.2,10.0
91,1.4,0.6,1.1,9.0
92,1.3,0.5,1.0,8.0
93,1.2,0.4,0.9,7.0
94,1.1,0.4,0.8,6.0
95,1.0,0.3,0.6,5.0
96,0.8,0.3,0.3,4.0
97,0.7,0.2,0.1,3.0
98,0.6,0.1,0.0,2.0
99,0.5,0.0,0.0,1.0
100,0.0,0.0,0.0,0.0
