BEV,Frequency Europe,Frequency US,Frequency World,tau,Capacity Battery (kWh),Charging Power AC,Charging Power DC
Aion S,0.0,0.0,0.0236,0.3030,68.0,11.0,139.9142857
Aion Y,0.0,0.0,0.0275,0.3030,63.2,11.0,139.9142857
Aito M7,0.0,0.0,0.0382,0.3030,68.51,11.0,139.9142857
Aito M9,0.0,0.0,0.0219,0.3030,68.51,11.0,139.9142857
Audi Q4,0.0369,0.0104,0.0,0.2,82.0,11.0,175.0
BMW i4,0.0385,0.0218,0.0,0.3030,70.2,11.0,180.0
BMW iX1,0.0355,0.0167,0.0,0.2,66.5,11.0,130.0
BYD Destroyer,0.0,0.0,0.039,0.3030,61.4,11.0,110.0
BYD Dolphin,0.0,0.0,0.0347,0.3030,45.0,11.0,60.0
BYD Han,0.0,0.0,0.0338,0.3030,85.4,11.0,120.0
BYD Qin plus,0.0,0.0,0.0797,0.3030,71.7,11.0,139.9142857
BYD Seagull,0.0,0.0,0.0659,0.3030,38.88,11.0,139.9142857
BYD Song,0.0,0.0,0.1165,0.3030,71.8,11.0,115.0
BYD Tang,0.0,0.0,0.0223,0.65,86.4,11.0,120.0
BYD Yuan Plus,0.0,0.0,0.0583,0.45,60.4,11.0,88.0
Changan Lumin,0.0,0.0,0.0216,0.3030,17.65,11.0,139.9142857
Chevrolet Bolt,0.0,0.06,0.0,0.3030,65.0,11.0,139.9142857
Cupra Born,0.0342,0.0,0.0,0.2,58.0,11.0,125.0
Dacia Spring,0.0465,0.0,0.0,0.3030,26.8,11.0,30.0
Fiat 500,0.0505,0.0,0.0,0.35,42.0,11.0,85.0
Ford F-150 Lightning,0.0,0.0234,0.0,0.3030,98.0,11.0,155.0
Ford Mustang Mach-E,0.0,0.0394,0.0,0.1,91.0,11.0,150.0
Hyundai Ioniq 5,0.0,0.0327,0.0,0.5,84.0,11.0,263.0
Hyundai Ioniq 6,0.0,0.0126,0.0,0.3030,53.0,11.0,175.0
Hyundai Kona,0.0284,0.0,0.0,0.5,39.0,11.0,50.0
Kia EV6,0.0,0.0183,0.0,0.3030,58.0,11.0,175.0
Kia Niro,0.0299,0.0,0.0,0.42,64.0,11.0,80.0
Li Auto L7,0.0,0.0,0.0247,0.3030,68.51,11.0,139.9142857
Mercedes EQA/S/E,0.03,0.0294,0.0,0.55,66.5,11.0,110.0
MG 4,0.0567,0.0,0.0,0.35,77.0,11.0,144.0
Mini Hatch,0.0288,0.0,0.0,0.3030,68.51,11.0,139.9142857
Nissan Ariya,0.0,0.013,0.0,0.3030,63.0,11.0,130.0
Peugot 208,0.0363,0.0,0.0,0.3030,51.0,11.0,100.0
Polestar 2,0.028,0.0118,0.0,0.15,82.0,11.0,206.0
Renault Megane,0.0342,0.0,0.0,0.2,40.0,11.0,85.0
Rivian R1S,0.0,0.024,0.0,0.2,129.0,11.0,220.0
Rivian R1T,0.0,0.0171,0.0,0.2,129.0,11.0,220.0
Skoda Enyaq,0.052,0.0,0.0,0.3,62.0,11.0,100.0
Tesla Model 3,0.0792,0.2135,0.0878,0.15,68.51,11.0,170.0
Tesla Model S,0.0,0.0159,0.0,0.35,98.0,11.0,218.0
Tesla Model X,0.0,0.0222,0.0,0.35,100.0,11.0,218.0
Tesla Model Y,0.1976,0.3813,0.1959,0.3030,68.51,11.0,165.0
Volvo XC40,0.04,0.0,0.0,0.2,78.0,11.0,150.0
VW ID 3,0.0498,0.0,0.0239,0.2,77.0,11.0,175.0
VW ID 4,0.0668,0.0365,0.0291,0.2,52.0,11.0,100.0
Woling Hong Guang Mini,0.0,0.0,0.0299,0.3030,68.51,11.0,139.9142857
Wuling Bingo,0.0,0.0,0.0257,0.3030,68.51,11.0,139.9142857
