date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2022-01-01,124.7,124.7,134.0,58.8,37.67,39.7,40.59,43.26,49.66,70.05,76.79,84.1,94.74,96.8,97.17,101.27,126.6,149.97,146.33,140.28,121.88,102.61,97.46,85.16
2022-01-02,57.08,52.59,48.97,34.94,29.56,33.97,34.52,41.8,48.95,60.01,70.09,66.26,64.54,46.96,49.06,74.99,85.0,100.0,109.9,99.9,77.0,46.16,46.29,32.93
2022-01-03,0.31,-0.01,-0.07,-1.05,-1.0,0.0,35.97,90.34,120.0,129.9,119.04,119.19,120.0,122.62,138.18,143.1,136.0,148.49,214.0,192.0,149.8,144.22,130.0,110.0
2022-01-04,194.9,137.25,137.2,119.31,117.13,119.9,156.91,182.64,178.91,190.0,189.88,182.42,182.46,179.59,179.0,180.93,166.69,189.88,184.94,178.99,156.12,154.99,137.92,106.0
2022-01-05,128.88,113.88,84.5,75.38,79.11,94.79,158.0,188.04,227.4,231.0,228.7,220.0,198.63,200.0,220.0,215.0,228.7,299.0,315.25,251.03,181.1,227.8,141.45,140.0
2022-01-06,225.0,187.87,218.0,188.0,199.9,187.0,215.56,228.25,250.0,292.55,268.67,231.9,226.0,209.2,216.06,230.77,245.95,274.11,273.44,219.1,218.58,203.31,184.7,136.48
2022-01-07,128.92,127.98,115.93,107.42,107.3,117.59,153.61,189.3,229.9,255.0,240.0,245.4,210.08,240.0,233.06,224.37,240.0,244.59,263.14,262.0,238.03,213.81,258.0,257.25
2022-01-08,200.3,176.2,166.0,162.38,160.0,154.3,166.0,182.91,215.89,231.0,228.95,215.39,206.68,185.0,169.52,162.8,161.9,189.9,200.3,200.0,232.0,165.75,149.61,149.6
2022-01-09,141.32,100.0,80.24,55.46,49.29,50.64,74.29,87.0,99.94,185.2,163.0,149.65,166.7,165.06,170.09,189.04,190.96,223.3,243.94,240.0,230.82,214.02,215.88,203.8
2022-01-10,196.23,191.85,195.91,186.66,178.04,191.65,237.44,299.95,313.92,315.0,310.41,310.08,300.0,297.01,299.96,291.3,301.22,309.9,310.82,294.98,267.45,211.0,217.03,190.9
2022-01-11,210.34,202.42,197.6,193.0,194.9,204.45,191.3,208.0,240.7,297.16,277.02,230.8,213.5,239.9,255.01,277.9,289.94,316.4,315.9,309.2,285.33,238.2,202.4,190.1
