date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01-01,-3.61,-1.46,-1.52,-5.0,-4.6,-4.05,-3.6,0.0,0.0,0.0,0.99,0.58,0.04,0.0,0.85,23.53,36.54,46.03,99.9,54.95,62.0,52.93,45.96,35.0
2023-01-02,109.9,94.9,52.93,44.16,50.08,77.09,105.08,140.64,162.44,180.0,145.61,143.35,144.38,143.76,148.2,155.34,164.0,185.68,174.74,169.9,153.0,141.67,134.91,124.22
2023-01-03,130.01,120.0,118.76,115.0,113.63,116.27,138.92,159.92,169.17,171.18,168.57,169.49,164.5,160.91,163.06,166.79,166.57,170.82,168.95,160.99,149.62,130.63,114.42,92.48
2023-01-04,80.07,68.44,37.92,0.0,0.0,6.33,54.9,85.32,150.0,146.0,131.19,130.53,127.87,119.08,116.55,127.99,131.25,150.2,137.5,129.49,122.4,129.39,108.96,106.0
2023-01-05,5.4,3.63,4.9,0.0,6.87,16.32,67.8,119.9,179.0,171.04,169.47,154.0,146.0,145.1,151.03,159.48,172.73,222.1,194.67,177.98,163.99,152.0,144.64,127.0
2023-01-06,107.21,101.1,96.73,81.42,74.45,78.32,96.89,107.02,122.94,166.4,182.4,163.67,140.2,135.0,158.0,170.4,140.1,155.93,163.5,146.74,139.39,131.84,129.94,121.31
2023-01-07,97.28,98.16,94.96,83.86,76.66,69.88,76.49,92.53,109.94,112.87,100.69,88.32,87.9,74.29,90.0,86.9,94.31,98.32,100.96,96.0,89.1,62.98,51.2,38.79
2023-01-08,11.55,9.07,9.1,3.46,2.8,5.08,9.02,16.47,50.23,83.02,93.88,103.87,101.69,99.0,104.29,103.33,108.43,118.72,122.76,109.44,104.41,98.65,99.38,81.34
2023-01-09,75.13,64.38,60.28,39.41,43.12,69.07,107.13,160.0,180.0,177.16,159.13,160.78,141.0,142.07,138.97,151.23,162.04,174.27,182.18,170.24,160.51,138.93,132.0,108.31
2023-01-10,106.01,96.72,95.15,90.33,95.61,108.6,138.13,156.0,220.0,222.0,163.52,147.6,141.25,141.68,145.41,145.92,140.11,147.9,144.74,130.1,122.81,101.9,82.0,42.96
2023-01-11,5.0,0.0,-0.33,-0.23,0.0,2.59,57.31,91.11,163.58,155.6,131.78,130.6,117.82,110.54,115.74,118.83,120.81,133.79,133.87,129.9,118.53,94.87,92.03,69.23
2023-01-12,21.74,5.92,5.66,0.1,2.73,25.55,85.72,115.35,138.6,156.6,110.0,111.92,106.7,102.87,110.24,108.66,107.91,130.0,144.5,130.0,131.14,86.0,74.1,40.41
2023-01-13,32.92,17.2,10.43,2.65,3.35,25.7,55.5,88.65,112.43,107.07,97.1,89.03,76.77,70.24,74.23,80.6,87.58,141.83,155.0,144.2,121.77,125.4,120.0,97.29
2023-01-14,135.0,117.2,98.67,57.45,40.85,41.02,45.1,54.9,77.15,100.1,96.73,99.2,104.97,93.86,93.85,100.0,100.0,134.26,144.2,127.0,143.51,99.37,93.42,69.1
2023-01-15,60.01,29.4,27.93,6.94,2.93,4.05,1.58,1.81,11.2,37.4,38.86,74.9,80.0,65.01,80.15,86.02,95.0,139.64,174.6,197.7,199.9,168.34,160.0,133.0
2023-01-16,60.01,60.01,62.72,56.1,63.3,87.0,154.63,175.11,185.99,170.0,200.1,165.6,148.59,145.47,146.1,149.9,151.45,166.79,173.72,150.5,145.9,131.97,127.31,120.0
2023-01-17,101.19,95.45,97.98,100.0,101.09,113.55,131.05,140.8,200.0,232.8,128.92,120.0,115.95,112.9,115.93,147.72,171.0,184.73,162.19,150.1,144.43,141.41,132.8,131.4
2023-01-18,119.8,120.1,123.9,122.87,120.48,121.91,130.39,166.4,181.5,176.56,140.0,123.05,119.31,115.75,117.08,140.0,147.97,160.0,127.08,123.07,117.09,119.9,117.51,111.46
2023-01-19,111.53,106.98,104.97,101.72,107.23,114.62,118.94,159.9,164.0,171.69,139.0,136.35,129.6,154.87,160.49,175.96,186.29,203.94,197.57,171.43,150.0,148.41,149.34,139.0
2023-01-20,149.9,144.5,142.44,142.8,144.98,150.01,169.9,208.07,235.06,221.7,209.77,199.42,187.49,181.62,179.6,192.0,200.0,208.22,208.4,183.68,151.39,155.3,153.65,147.55
2023-01-21,152.2,147.86,142.22,135.88,132.91,134.84,131.5,140.77,155.26,171.84,170.01,156.94,147.91,137.02,136.58,135.9,144.22,173.92,179.62,159.41,165.88,147.74,143.86,132.58
2023-01-22,140.0,122.94,127.0,130.99,122.12,121.68,132.39,127.6,139.9,150.71,146.4,153.1,146.3,150.0,154.9,157.49,171.03,191.99,203.66,197.58,170.87,166.4,157.25,148.3
2023-01-23,149.24,149.0,148.4,147.59,148.3,144.9,189.9,226.54,257.91,270.2,249.9,230.2,220.93,219.16,219.67,218.99,224.58,248.9,248.07,223.19,201.39,183.95,167.6,157.01
2023-01-24,164.85,160.05,145.9,142.4,153.62,156.7,183.61,210.06,251.1,256.43,238.66,229.96,217.85,205.99,215.28,217.98,224.58,250.0,250.0,231.14,207.29,182.75,149.9,147.34
2023-01-25,138.2,146.18,145.26,146.7,146.8,150.9,160.0,195.46,225.04,225.0,212.42,200.98,193.2,185.2,190.8,197.3,199.19,206.35,200.1,170.41,150.0,144.3,145.08,135.0
2023-01-26,150.0,129.38,128.48,126.61,128.94,124.0,160.39,182.49,198.95,199.06,192.38,140.1,136.44,130.0,127.96,135.48,153.0,186.2,150.0,133.92,128.49,149.4,130.0,130.0
2023-01-27,124.12,114.61,119.74,116.0,124.08,127.26,149.7,176.1,195.0,199.19,195.0,190.0,183.06,180.0,181.5,185.0,188.0,198.05,200.7,193.7,181.13,161.86,145.32,146.0
2023-01-28,139.9,135.0,133.32,129.47,125.22,122.82,128.8,136.26,145.43,160.14,161.55,153.92,126.0,119.9,129.9,123.0,154.27,164.93,168.0,150.0,138.94,143.84,139.6,124.1
2023-01-29,150.4,139.03,119.4,125.22,123.76,123.58,125.84,133.22,147.87,149.9,154.8,122.0,132.0,120.8,121.27,125.37,130.0,155.8,149.9,118.0,120.0,101.61,98.0,73.11
2023-01-30,49.67,9.46,5.07,2.03,9.03,37.5,88.76,150.0,182.0,142.0,103.49,88.23,84.9,83.38,87.55,99.92,120.0,167.5,180.0,180.0,171.0,150.0,149.9,137.3
2023-01-31,151.8,106.63,108.63,102.97,105.8,109.9,141.35,171.44,182.8,170.5,165.3,146.0,118.67,113.06,113.59,125.0,141.4,166.37,200.0,147.93,124.3,127.6,122.7,87.52
2023-02-01,85.03,80.02,71.67,71.05,79.21,83.93,99.5,130.0,163.7,120.1,108.51,104.81,102.63,101.79,101.58,101.82,130.0,167.62,179.69,126.0,100.88,117.0,99.9,94.9
2023-02-02,83.46,89.96,85.57,88.27,94.4,99.92,116.62,140.96,170.13,178.2,170.09,167.21,156.86,152.74,161.44,163.39,167.28,178.17,183.12,167.41,146.86,143.54,130.15,106.3
2023-02-03,110.1,102.99,96.55,90.1,82.4,89.02,103.23,147.12,173.32,166.59,139.9,113.0,130.0,131.2,143.38,150.0,149.9,184.0,194.4,180.0,166.7,181.0,143.9,153.01
2023-02-04,152.53,159.9,124.68,124.5,127.28,131.29,139.61,156.31,164.19,169.83,164.11,156.39,148.84,133.37,134.09,141.61,155.36,170.29,184.16,179.96,167.88,158.13,152.38,136.63
2023-02-05,146.92,141.11,148.56,130.61,115.9,113.23,114.16,115.58,110.1,111.85,108.54,107.07,101.62,100.69,103.81,115.25,125.13,147.56,171.49,185.33,172.03,153.67,155.77,144.18
2023-02-06,145.0,143.73,145.44,142.13,140.1,148.93,175.67,200.65,213.39,200.63,185.08,163.54,129.8,129.55,135.48,149.6,181.8,198.94,213.5,205.38,186.21,166.48,152.5,154.0
2023-02-07,145.72,142.12,140.31,139.36,141.6,143.44,170.54,198.03,214.16,191.85,168.38,125.76,123.57,125.6,139.93,171.81,189.98,222.26,245.6,229.0,199.03,188.18,173.34,163.07
2023-02-08,160.04,155.15,150.0,147.97,145.97,149.1,175.69,196.64,216.19,176.0,128.0,116.0,115.61,114.88,114.24,125.39,156.78,183.99,192.45,153.0,145.0,163.6,170.6,149.85
2023-02-09,134.11,128.85,128.2,124.49,115.71,124.49,146.57,167.84,181.99,137.0,125.0,111.8,125.43,125.08,135.59,160.45,165.04,173.25,198.0,161.51,150.0,143.94,132.69,128.8
2023-02-10,123.0,119.5,121.24,122.87,124.59,130.06,151.89,185.56,202.0,165.81,142.0,138.64,119.18,119.7,114.42,128.45,128.0,162.65,162.1,127.16,111.29,94.9,100.0,100.0
2023-02-11,120.6,119.9,118.24,118.28,111.95,102.74,119.98,127.3,150.1,149.94,130.1,130.6,134.3,122.0,140.0,144.0,141.1,153.85,182.4,183.5,172.94,144.76,147.54,138.0
2023-02-12,159.46,149.9,132.1,127.85,124.02,128.4,128.8,148.67,149.4,156.93,145.56,140.07,129.89,120.0,120.0,124.63,135.16,158.54,185.66,167.32,156.38,142.32,151.39,131.4
2023-02-13,138.64,135.3,134.04,129.04,130.84,137.37,163.19,196.08,202.2,196.2,173.35,141.0,123.1,120.0,120.0,121.0,150.23,188.06,221.8,206.6,187.86,168.92,160.97,150.12
2023-02-14,135.62,132.32,132.16,132.12,132.32,141.93,156.7,199.99,206.98,180.6,125.69,125.18,130.0,122.98,126.04,121.43,146.97,180.8,199.99,192.97,175.81,160.09,151.03,141.73
2023-02-15,134.74,130.95,130.0,130.01,125.8,132.4,132.8,185.0,188.76,171.22,146.35,124.65,117.28,116.6,120.47,120.0,142.78,159.23,174.22,159.21,120.1,119.4,116.7,105.1
2023-02-16,91.02,102.07,107.9,102.03,106.79,117.7,139.9,166.61,175.41,168.13,154.38,142.15,127.77,120.27,127.93,134.95,140.96,166.0,166.53,154.65,129.9,131.14,124.5,111.61
2023-02-17,104.09,98.52,92.74,86.31,81.27,85.95,100.0,120.1,129.9,113.8,109.4,109.4,105.66,89.41,82.56,95.0,100.0,115.0,130.0,125.56,120.0,109.4,117.0,101.79
2023-02-18,110.0,70.1,60.0,59.33,67.14,70.1,82.26,91.14,109.66,118.2,108.23,103.27,94.75,83.01,86.37,96.68,110.0,128.7,146.87,150.46,135.29,120.55,117.0,113.68
2023-02-19,110.82,105.37,100.63,93.0,92.55,97.78,101.32,109.96,115.33,118.44,116.08,113.7,112.75,115.7,114.1,107.66,120.0,141.0,158.5,158.18,142.67,134.17,128.14,100.6
2023-02-20,78.87,64.9,48.86,34.0,29.13,38.24,72.3,100.0,110.0,111.9,106.38,94.0,102.77,84.9,99.0,109.0,91.1,129.0,173.1,146.0,148.4,130.0,125.4,108.8
2023-02-21,106.0,108.0,93.24,121.5,108.3,99.9,133.7,146.88,152.08,167.93,150.0,128.52,122.94,120.16,124.79,130.56,148.98,164.85,178.13,177.1,170.0,158.8,153.2,142.58
2023-02-22,139.9,125.2,125.3,117.28,117.31,116.4,148.0,173.13,176.34,164.55,151.24,123.96,118.67,126.0,136.0,150.9,156.95,165.01,175.0,172.73,162.06,154.02,144.84,134.45
